Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
Victor Savinykh,USSR/Russia,Salyut 7,Repair of crippled Salyut 7 station.,N,N,N,170.0,1985-06-05,Soyuz T-13,1985-11-21,Soyuz T-14,1985
"Soyuz 27, Soyuz 39, Soyuz T-12, Soyuz T-13",USSR/Russia,Salyut 7,Repair of crippled Salyut 7 station.,N,N,N,114.0,1985-06-05,Soyuz T-13,1985-09-26,Soyuz T-13,1985
"Daniel C. Brandenstein, John O. Creighton, Shannon W. Lucid, Steven R. Nagel, John M. Fabian, Patrick Baudry, Sultan Salman Al Saud",USA,,Three communications satellites deployed. Miscellaneous scientific experiments. First Saudi and the first Arab in space (Al-Saud).,N,N,N,7.0,1985-06-17,STS-51-G (Discovery),1985-06-24,STS-51-G (Discovery),1985
"C. Gordon Fullerton, Roy D. Bridges, F. Story Musgrave, Anthony W. England, Karl G. Henize, Loren W. Acton, John-David F. Bartoe",USA,,Spacelab-2 mission. Miscellaneous science experiments. Three communications satellites deployed.,N,N,N,8.0,1985-07-29,STS-51-F (Challenger),1985-08-06,STS-51-F (Challenger),1985
"Joseph H. Engle, Richard O. Covey, James D.A. van Hoften, John M. Lounge, William F. Fisher",USA,,"Three communications satellites deployed. Retrieval, repair and redeployment of LEASAT-3 satellite.",N,N,N,7.0,1985-08-27,STS-51-I (Discovery),1985-09-03,STS-51-I (Discovery),1985
"Vladimir Vasyutin, Alexander Volkov",USSR/Russia,Salyut 7,,N,N,N,66.0,1985-09-17,Soyuz T-14,1985-11-21,Soyuz T-14,1985
Georgy Grechko,USSR/Russia,,,N,N,N,9.0,1985-09-17,Soyuz T-14,1985-09-26,Soyuz T-13,1985
"Karol J. Bobko, Ronald J. Grabe, David C. Hilmers, Robert L. Stewart, William A. Pailes",USA,,"Second U.S. Department of Defense mission. Classified payload, believed to be two communications satellites.",N,N,N,4.0,1985-10-03,STS-51-J (Atlantis),1985-10-07,STS-51-J (Atlantis),1985
"Henry W. Hartsfield, Steven R. Nagel, James F. Buchli, Guion Bluford, Bonnie J. Dunbar, Reinhard Furrer, Ernst Messerschmid, Wubbo J. Ockels",USA,,German-sponsored Spacelab mission. Microgravity experiments. First Dutchman in space (Ockels).,N,N,N,7.0,1985-10-30,STS-61-A (Challenger),1985-11-06,STS-61-A (Challenger),1985
"Brewster H. Shaw, Bryan D. O'Connor, Mary L. Cleave, Sherwood C. Spring, Jerry L. Ross, Rodolfo Neri Vela, Charles D. Walker",USA,,Three communications satellites deployed. Demonstration of in-orbit construction techniques. First Mexican in space (Neri Vela).,N,N,N,7.0,1985-11-26,STS-61-B (Atlantis),1985-12-03,STS-61-B (Atlantis),1985
"Robert L. Gibson, Charles F. Bolden, Franklin R. Chang-Diaz, Steven A. Hawley, George D. Nelson, Robert J. Cenker, Clarence W. Nelson",USA,,Deployment of communications satellite. Miscellaneous science experiments.,N,N,N,6.0,1986-01-12,STS-61-C (Columbia),1986-01-18,STS-61-C (Columbia),1986
"Francis R. Scobee, Michael J. Smith, Judith A. Resnik, Ellison S. Onizuka, Ronald E. McNair, Gregory B. Jarvis, S. Christa McAuliffe",USA,,Disintegrated 73 seconds after launch with loss of all crew.,Y,N,N,0.0,1986-01-28,STS-51-L (Challenger),1986-01-28,Failure,1986
"Leonid Kizim, Vladimir Solovyov",USSR/Russia,"""Mir, Salyut 7, Mir""",First expedition to Mir. Last expedition to Salyut 7.,N,N,N,126.0,1986-03-13,Soyuz T-15,1986-07-16,Soyuz T-15,1986
Yury Romanenko,USSR/Russia,Mir,Mir crew rotation and maintenance.,N,N,N,326.0,1987-02-07,Soyuz TM-2,1987-12-29,Soyuz TM-3,1987
Alexander Laveykin,USSR/Russia,Mir,Mir crew rotation and maintenance.,N,N,N,174.0,1987-02-07,Soyuz TM-2,1987-07-30,Soyuz TM-2,1987
Alexander Alexanderov,USSR/Russia,Mir,Mir crew rotation and maintenance.,N,N,N,161.0,1987-07-22,Soyuz TM-3,1987-12-29,Soyuz TM-3,1987
"Alexander Victorenko, Mohammed Faris",USSR/Russia,Mir,Mir crew rotation and maintenance.,N,N,N,8.0,1987-07-22,Soyuz TM-3,1987-07-30,Soyuz TM-2,1987
